id_1,id_2,confidence_score,name_1,name_2,address_1,address_2
7,15925.0,1.0,jazz house supper club llc,jazz house supper club,9331 e adamo dr,9331 e adamo dr
16985,93741.0,1.0,integrity tire & automotive centers,integrity tire & automotive centers,4029 little rd,4029 little rd
88173,7971.0,1.0,cafe coco llc,cafe coco,210 louise ave,210 louise ave
16910,11874.0,1.0,hawthorne bottle shoppe,hawthorne bottle shoppe,2927 central ave,2927 central ave
20324,11874.0,1.0,hawthorne bottle shoppe,hawthorne bottle shoppe,2927 central ave,2927 central ave
16950,53466.0,1.0,heavenly nails inc,heavenly nails,1155 s dale mabry hwy ste 18,1155 s dale mabry hwy ste 18
16563,74113.0,1.0,bay area oriental family practice pa,bay area oriental family practice pa,5905 webb rd,5905 webb rd
89557,71907.0,1.0,mas tacos por favor llc,mas tacos por favor,732 mcferrin ave,732 mcferrin ave
16958,9243.0,1.0,sergios jewelry,sergios jewelry,4569 gunn hwy,4569 gunn hwy
88160,71907.0,1.0,mas tacos por favor llc,mas tacos por favor,732 mcferrin ave,732 mcferrin ave
17034,24578.0,1.0,active chiropractic & rehabilitation inc,active chiropractic & rehabilitation,2329 sunset point rd ste 204,2329 sunset point rd ste 204
19806,92663.0,1.0,hi face studio inc,hi face studio,15004 n dale mabry hwy,15004 n dale mabry hwy
88152,42342.0,1.0,embers ski lodge llc,embers ski lodge,2410 12th ave s,2410 12th ave s
17092,35582.0,1.0,brandon pizzeria llc,brandon pizzeria,140 n parsons ave,140 n parsons ave
17143,86843.0,1.0,golden sails jewelers inc,golden sails jewelers,6950 22nd ave n,6950 22nd ave n
17164,86843.0,1.0,golden sails jewelers inc,golden sails jewelers,6950 22nd ave n,6950 22nd ave n
16582,5481.0,1.0,thai legacy restaurant llc,thai legacy restaurant,120 n parsons ave,120 n parsons ave
16562,74113.0,1.0,bay area oriental family practice pa,bay area oriental family practice pa,5905 webb rd,5905 webb rd
88573,59008.0,1.0,rebar at the dam llc,rebar at the dam,3248 blackwood dr,3248 blackwood dr
16253,60504.0,1.0,deer hunter guns inc,deer hunter guns,2797 gulf to bay blvd,2797 gulf to bay blvd
88211,18797.0,1.0,franklin heating & cooling inc,franklin heating & cooling,320 cummins st,320 cummins st
16733,92663.0,1.0,hi face studio inc,hi face studio,15004 n dale mabry hwy,15004 n dale mabry hwy
16046,23103.0,1.0,ride pro llc,ride pro,12939 n nebraska ave,12939 n nebraska ave
15203,11379.0,1.0,therachoice inc,therachoice,501 66th st n,501 66th st n
